smiles,minimum_degree,MW,HBD,num_rings,num_rotatable_bonds,TPSA,solubility
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,1,588.562,3,7,5,160.83,-3.571
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,2,252.316,0,5,0,0,-8.804
Cc1ccc(cc1N(=O)=O)N(=O)=O,1,182.135,0,1,2,86.28,-2.82
c1c(Br)ccc2ccccc12 ,1,207.07,0,2,0,0,-4.4
CNC(=O)Oc1cccc(N=CN(C)C)c1,1,221.26,1,1,3,53.93,-2.34
COc2cnc1ncncc1n2,1,162.152,0,2,1,60.79,-1.139
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,1,266.304,1,4,1,58.12,-3.19
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,1,313.747,0,1,7,58.4,-3.658
CC(=C)C=C,1,68.119,0,0,1,0,-2.03
CC(C)=CCCC(O)(C)C=C,1,154.253,1,0,4,20.23,-1.99
COP(=S)(OC)Oc1ccc(SC)c(C)c1,1,278.335,0,1,5,27.69,-4.57
OC1CCCCC1,1,100.161,1,1,0,20.23,-0.44
O=C1NC(=O)NC(=O)C1(C)CC=C,1,182.179,2,1,2,75.27,-1.16
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,1,290.447,1,4,0,37.3,-4.16
OCC(O)C(O)C(O)C(O)CO ,1,182.172,6,0,5,121.38,0.06
Cc1ccc(cc1)c2ccccc2,1,168.239,0,2,1,0,-4.62
CCNc1nc(Cl)nc(NC(C)C)n1,1,215.688,2,1,4,62.73,-3.85
NC(=S)Nc1ccccc1,1,152.222,2,1,1,38.05,-1.77
CCCC(=O)CCC,1,114.188,0,0,4,17.07,-1.3
CC(=O)C(C)(C)C,1,100.161,0,0,0,17.07,-0.72
Oc1ccc(Cl)cc1,1,128.558,1,1,0,20.23,-0.7
O=C1CCCCC1,1,98.145,0,1,0,17.07,-0.6
Cc1cccc(N)c1,1,107.156,1,1,0,26.02,-0.85
ClC(Cl)(Cl)C#N,1,144.388,0,0,0,23.79,-2.168
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,1,303.671,1,2,2,46.92,-4.046
CCCCCCCCC(=O)C,1,156.269,0,0,7,17.07,-3.3
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,1,243.742,1,1,5,53.94,-3.785
CCOC(=O)c1ccc(N)cc1,1,165.192,1,1,2,52.32,-2.616
Clc1ccc(Cl)c(Cl)c1,1,181.449,0,1,0,0,-3.59
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,1,343.217,0,4,1,43.07,-4.09
Oc1ccccc1O,1,110.112,2,1,0,40.46,0.62
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,1,254.293,0,3,1,49.33,-2.62
CSC,1,62.137,0,0,0,0,-0.45
Cc1ccccc1Br,1,171.037,0,1,0,0,-2.23
CCOC(=O)N,1,89.094,1,0,1,52.32,0.85
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,1,384.516,0,4,2,60.44,-5.35
CC(C)C(O)C(C)C,1,116.204,1,0,2,20.23,-1.22
c1ccc2ccccc2c1,2,128.174,0,2,0,0,-3.6
CCNc1ccccc1,1,121.183,1,1,2,12.03,-1.7
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,1,252.273,2,3,2,58.2,-4.097
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,1,256.348,0,4,0,0,-7.02
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,1,393.854,0,2,8,55.84,-6.34
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,1,345.653,0,2,4,18.46,-6.89
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,1,381.112,2,2,2,58.2,-7.28
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,366.417,1,3,7,75.71,-4.678
CN(C)C(=O)Nc1ccc(Cl)cc1,1,198.653,1,1,1,32.34,-2.89
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,1,301.296,1,3,4,50.94,-3.37
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,1,478.513,2,4,4,127.2,-4.13
CCCCBr,1,137.02,0,0,2,0,-2.37
Brc1cc(Br)c(Br)cc1Br,1,393.698,0,1,0,0,-6.98
CC(C)CC(=O)C,1,100.161,0,0,2,17.07,-0.74
CCSC(=O)N(CC)C1CCCCC1 ,1,215.362,0,1,3,20.31,-3.4
COc1ccc(Cl)cc1,1,142.585,0,1,1,9.23,-2.78
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,505.206,0,3,6,59.32,-8.402
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1,224.26,2,1,4,75.27,-2.016
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,1,277.238,0,1,5,70.83,-4.04
Ic1cccc2ccccc12,1,254.07,0,2,0,0,-4.55
OCC(O)C(O)C(O)C(O)CO,1,182.172,6,0,5,121.38,1.09
CCS,1,62.137,1,0,0,0,-0.6
ClCC(Cl)Cl,1,133.405,0,0,1,0,-1.48
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,1,245.282,0,2,2,47.36,-2.09
NC(=O)c1ccccc1O,1,137.138,2,1,1,63.32,-1.82
Cc1ccccc1N(=O)=O,1,137.138,0,1,1,43.14,-2.33
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,1,212.249,2,1,2,75.27,-2.766
CCc1ccccc1C,1,120.195,0,1,1,0,-3.21
CCCCCCCCl,1,134.65,0,0,5,0,-4
O=C1NC(=O)NC(=O)C1(CC)CC,1,184.195,2,1,2,75.27,-2.4
C(Cc1ccccc1)c2ccccc2,2,182.266,0,2,3,0,-4.62
ClC(Cl)C(Cl)Cl,1,167.85,0,0,1,0,-1.74
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,1,283.331,1,3,2,54.46,-5.153
Cc1ccc2c(ccc3ccccc32)c1,1,192.261,0,3,0,0,-5.84
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,1,278.348,0,1,8,52.6,-4.4
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,1,261.919,1,1,1,29.46,-4.02
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,1,299.691,0,0,8,65.07,0.523
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,1,268.356,1,4,0,37.3,-5.282
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,1,414.827,1,2,8,127.79,-4.576
COc1ccc(cc1)N(=O)=O,1,153.137,0,1,2,52.37,-2.41
CCCCCCCl,1,120.623,0,0,4,0,-3.12
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,1,429.772,0,2,1,0,-9.16
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,1,504.438,11,3,8,268.68,-0.41
CCCCCCCCCCCCCCCCCCCCCCCCCC,1,366.718,0,0,23,0,-8.334
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,1,253.305,0,3,1,36.44,-3.324
CC(Cl)Cl,1,98.96,0,0,0,0,-1.29
Nc1ccc(cc1)S(N)(=O)=O,1,172.209,2,1,1,86.18,-1.34
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,1,309.366,0,1,8,89.52,-6.49
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,290.832,0,1,0,0,-4.64
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,1,345.401,1,1,8,56.79,-4.194
Clc1cccc(Cl)c1Cl,1,181.449,0,1,0,0,-4
ClC(Cl)(Cl)Cl,1,153.823,0,0,0,0,-2.31
O=N(=O)c1cc(Cl)c(Cl)cc1,1,192.001,0,1,1,43.14,-3.2
OC1CCCCCCC1,1,128.215,1,1,0,20.23,-1.29
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,302.458,1,4,0,37.3,-3.999
CCOc1ccc(NC(N)=O)cc1,1,180.207,2,1,3,64.35,-2.17
C/C1CCC(\C)CC1,1,112.216,0,1,0,0,-4.47
c1cnc2c(c1)ccc3ncccc23,2,180.21,0,3,0,25.78,-2.68
COC(C)(C)C,1,88.15,0,0,0,9.23,-0.24
COc1ccc(C=CC)cc1,1,148.205,0,1,2,9.23,-3.13
CCCCCCCCCCCCCCCCO,1,242.447,1,0,14,20.23,-7
O=c1cc[nH]c(=O)[nH]1 ,1,112.088,2,1,0,65.72,-1.488
Nc1ncnc2nc[nH]c12 ,1,135.13,2,2,0,80.48,-2.12
